YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 03 22 23 20 341  5.0  6.3 99.00 99.00 99.00 999 1012.5  14.5 999.0 999.0 99.0 99.00
2014 03 22 23 30 338  4.7  5.7 99.00 99.00 99.00 999 1012.6  14.2 999.0 999.0 99.0 99.00
2014 03 22 23 40 347  5.3  7.8 99.00 99.00 99.00 999 1012.6  14.1 999.0 999.0 99.0 99.00
2014 03 22 23 50 357  5.2  6.6 99.00 99.00 99.00 999 1012.5  13.8 999.0 999.0 99.0 99.00
2014 03 23 00 00 351  5.7  7.2 99.00 99.00 99.00 999 1012.4  13.4   5.5 999.0 99.0 99.00
2014 03 23 00 10 338  4.7  6.0 99.00 99.00 99.00 999 1012.5  12.5 999.0 999.0 99.0 99.00
2014 03 23 00 20 227  2.8  4.4 99.00 99.00 99.00 999 1013.0  12.1 999.0 999.0 99.0 99.00
2014 03 23 00 30 200  1.2  3.0 99.00 99.00 99.00 999 1013.2  12.0 999.0 999.0 99.0 99.00
2014 03 23 00 40 259  1.1  2.0 99.00 99.00 99.00 999 1013.3  13.1 999.0 999.0 99.0 99.00
2014 03 23 00 50 251  0.9  1.8 99.00 99.00 99.00 999 1013.7  13.5 999.0 999.0 99.0 99.00
2014 03 23 01 00 276  1.4  2.2 99.00 99.00 99.00 999 1013.9  13.4   5.5 999.0 99.0 99.00
2014 03 23 01 10 272  1.7  2.9 99.00 99.00 99.00 999 1014.1  13.8 999.0 999.0 99.0 99.00
2014 03 23 01 20 288  1.9  2.7 99.00 99.00 99.00 999 1014.4  13.8 999.0 999.0 99.0 99.00
2014 03 23 01 30 331  1.6  2.3 99.00 99.00 99.00 999 1014.5  13.5 999.0 999.0 99.0 99.00
2014 03 23 01 40 352  2.6  5.3 99.00 99.00 99.00 999 1014.7  12.8 999.0 999.0 99.0 99.00
2014 03 23 01 50   6  1.8  2.6 99.00 99.00 99.00 999 1014.8  11.4 999.0 999.0 99.0 99.00
2014 03 23 02 00  10  1.7  2.5 99.00 99.00 99.00 999 1015.0  11.5   5.6 999.0 99.0 99.00
2014 03 23 02 10   7  4.7  7.3 99.00 99.00 99.00 999 1015.2  12.2 999.0 999.0 99.0 99.00
2014 03 23 02 20   7  5.6  6.6 99.00 99.00 99.00 999 1015.2  12.2 999.0 999.0 99.0 99.00
2014 03 23 02 30   7  5.0  6.7 99.00 99.00 99.00 999 1015.4  11.7 999.0 999.0 99.0 99.00
